C macros	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
ACCESSPERMS	(S_IRWXU|S_IRWXG|S_IRWXO)	(S_IRWXU|S_IRWXG|S_IRWXO)	(S_IRWXU|S_IRWXG|S_IRWXO)	(S_IRWXU|S_IRWXG|S_IRWXO)	(S_IRWXU|S_IRWXG|S_IRWXO)
ADJ_ESTERROR	0x0008	0x0008	0x0008	???	???
ADJ_FREQUENCY	0x0002	0x0002	0x0002	???	???
ADJ_MAXERROR	0x0004	0x0004	0x0004	???	???
ADJ_MICRO	0x1000	0x1000	0x1000	???	???
ADJ_NANO	0x2000	0x2000	0x2000	???	???
ADJ_OFFSET	0x0001	0x0001	0x0001	???	???
ADJ_OFFSET_SINGLESHOT	0x8001	0x8001	0x8001	???	???
ADJ_OFFSET_SS_READ	0xa001	0xa001	0xa001	???	???
ADJ_STATUS	0x0010	0x0010	0x0010	???	???
ADJ_TAI	0x0080	0x0080	0x0080	???	???
ADJ_TICK	0x4000	0x4000	0x4000	???	???
ADJ_TIMECONST	0x0020	0x0020	0x0020	???	???
AIO_PRIO_DELTA_MAX	20	20	20	20	20
ALLPERMS	(S_ISUID|S_ISGID|S_ISVTX|S_IRWXU|S_IRWXG|S_IRWXO)	(S_ISUID|S_ISGID|S_ISVTX|S_IRWXU|S_IRWXG|S_IRWXO)	(S_ISUID|S_ISGID|S_ISVTX|S_IRWXU|S_IRWXG|S_IRWXO)	(S_ISUID|S_ISGID|S_ISVTX|S_IRWXU|S_IRWXG|S_IRWXO)	(S_ISUID|S_ISGID|S_ISVTX|S_IRWXU|S_IRWXG|S_IRWXO)
AT_BASE	7	7	7	7	7
AT_BASE_PLATFORM	24	24	24	???	???
AT_CLKTCK	17	17	17	17	17
AT_DCACHEBSIZE	19	19	19	19	19
AT_EACCESS	0x200	0x200	0x200	0x200	0x200
AT_EGID	14	14	14	14	14
AT_EMPTY_PATH	0x1000	0x1000	0x1000	???	???
AT_ENTRY	9	9	9	9	9
AT_EUID	12	12	12	12	12
AT_EXECFD	2	2	2	2	2
AT_EXECFN	31	31	31	31	31
AT_FDCWD	-100	-100	-100	-100	-100
AT_FLAGS	8	8	8	8	8
AT_FPUCW	18	18	18	18	18
AT_GID	13	13	13	13	13
AT_HWCAP	16	16	16	16	16
AT_HWCAP2	26	26	26	???	???
AT_ICACHEBSIZE	20	20	20	20	20
AT_IGNORE	1	1	1	1	1
AT_IGNOREPPC	22	22	22	22	22
AT_L1D_CACHESHAPE	35	35	35	35	35
AT_L1I_CACHESHAPE	34	34	34	34	34
AT_L2_CACHESHAPE	36	36	36	36	36
AT_L3_CACHESHAPE	37	37	37	37	37
AT_NOTELF	10	10	10	10	10
AT_NO_AUTOMOUNT	0x800	0x800	0x800	???	???
AT_NULL	0	0	0	0	0
AT_PAGESZ	6	6	6	6	6
AT_PHDR	3	3	3	3	3
AT_PHENT	4	4	4	4	4
AT_PHNUM	5	5	5	5	5
AT_PLATFORM	15	15	15	15	15
AT_RANDOM	25	25	25	???	???
AT_REMOVEDIR	0x200	0x200	0x200	0x200	0x200
AT_SECURE	23	23	23	23	23
AT_SYMLINK_FOLLOW	0x400	0x400	0x400	0x400	0x400
AT_SYMLINK_NOFOLLOW	0x100	0x100	0x100	0x100	0x100
AT_SYSINFO	32	32	32	32	32
AT_SYSINFO_EHDR	33	33	33	33	33
AT_UCACHEBSIZE	21	21	21	21	21
AT_UID	11	11	11	11	11
BC_BASE_MAX	_POSIX2_BC_BASE_MAX	_POSIX2_BC_BASE_MAX	_POSIX2_BC_BASE_MAX	_POSIX2_BC_BASE_MAX	_POSIX2_BC_BASE_MAX
BC_DIM_MAX	_POSIX2_BC_DIM_MAX	_POSIX2_BC_DIM_MAX	_POSIX2_BC_DIM_MAX	_POSIX2_BC_DIM_MAX	_POSIX2_BC_DIM_MAX
BC_SCALE_MAX	_POSIX2_BC_SCALE_MAX	_POSIX2_BC_SCALE_MAX	_POSIX2_BC_SCALE_MAX	_POSIX2_BC_SCALE_MAX	_POSIX2_BC_SCALE_MAX
BC_STRING_MAX	_POSIX2_BC_STRING_MAX	_POSIX2_BC_STRING_MAX	_POSIX2_BC_STRING_MAX	_POSIX2_BC_STRING_MAX	_POSIX2_BC_STRING_MAX
BIG_ENDIAN	__BIG_ENDIAN	__BIG_ENDIAN	__BIG_ENDIAN	__BIG_ENDIAN	__BIG_ENDIAN
BUFSIZ	_IO_BUFSIZ	_IO_BUFSIZ	_IO_BUFSIZ	_IO_BUFSIZ	_IO_BUFSIZ
BUS_ADRALN	BUS_ADRALN	BUS_ADRALN	BUS_ADRALN	BUS_ADRALN	BUS_ADRALN
BUS_ADRERR	BUS_ADRERR	BUS_ADRERR	BUS_ADRERR	BUS_ADRERR	BUS_ADRERR
BUS_MCEERR_AO	BUS_MCEERR_AO	BUS_MCEERR_AO	BUS_MCEERR_AO	???	???
BUS_MCEERR_AR	BUS_MCEERR_AR	BUS_MCEERR_AR	BUS_MCEERR_AR	???	???
BUS_OBJERR	BUS_OBJERR	BUS_OBJERR	BUS_OBJERR	BUS_OBJERR	BUS_OBJERR
BYTE_ORDER	__BYTE_ORDER	__BYTE_ORDER	__BYTE_ORDER	__BYTE_ORDER	__BYTE_ORDER
CBRK	CEOL	CEOL	CEOL	CEOL	CEOL
CDISCARD	CTRL(&#39;o&#39;)	CTRL(&#39;o&#39;)	CTRL(&#39;o&#39;)	CTRL(&#39;o&#39;)	CTRL(&#39;o&#39;)
CDSUSP	CTRL(&#39;y&#39;)	CTRL(&#39;y&#39;)	CTRL(&#39;y&#39;)	CTRL(&#39;y&#39;)	CTRL(&#39;y&#39;)
CEOF	CTRL(&#39;d&#39;)	CTRL(&#39;d&#39;)	CTRL(&#39;d&#39;)	CTRL(&#39;d&#39;)	CTRL(&#39;d&#39;)
CEOL	&#39;\0&#39;	&#39;\0&#39;	&#39;\0&#39;	&#39;\0&#39;	&#39;\0&#39;
CEOT	CEOF	CEOF	CEOF	CEOF	CEOF
CERASE	0177	0177	0177	0177	0177
CFLUSH	CDISCARD	CDISCARD	CDISCARD	CDISCARD	CDISCARD
CHARCLASS_NAME_MAX	2048	2048	2048	2048	2048
CHAR_BIT	__CHAR_BIT__	__CHAR_BIT__	__CHAR_BIT__	__CHAR_BIT__	__CHAR_BIT__
CHAR_MAX	SCHAR_MAX	SCHAR_MAX	SCHAR_MAX	SCHAR_MAX	SCHAR_MAX
CHAR_MIN	SCHAR_MIN	SCHAR_MIN	SCHAR_MIN	SCHAR_MIN	SCHAR_MIN
CINTR	CTRL(&#39;c&#39;)	CTRL(&#39;c&#39;)	CTRL(&#39;c&#39;)	CTRL(&#39;c&#39;)	CTRL(&#39;c&#39;)
CKILL	CTRL(&#39;u&#39;)	CTRL(&#39;u&#39;)	CTRL(&#39;u&#39;)	CTRL(&#39;u&#39;)	CTRL(&#39;u&#39;)
